PicNum,Sex,Age,Race,Face,Prop
1223,male,child,white,smiling,
1224,male,child,white,serious,
1225,male,child,white,smiling,
1226,male,child,white,smiling,
1227,male,child,white,serious,
1229,male,adult,white,serious,
1230,male,child,white,serious,
1231,male,child,white,serious,
1233,male,child,white,serious,
1234,male,child,white,serious,
1235,male,child,white,serious,
1236,male,child,white,serious,
1237,male,child,white,serious,
1238,male,child,white,serious,
1239,male,child,white,serious,
1240,male,child,white,serious,
1241,male,child,white,serious,
1242,male,child,white,serious,
1243,male,child,white,serious,
1244,male,child,white,serious,
1245,male,child,white,serious,
1246,male,child,white,serious,
1247,male,child,white,serious,
1248,male,child,white,serious,
1249,male,child,white,funny,
1250,male,child,white,serious,
1251,male,child,white,serious,
1252,female,child,white,smiling,
1253,male,child,white,serious,
1254,male,child,white,serious,
1255,male,child,white,serious,
1256,female,child,white,serious,
1257,female,child,white,serious,
1258,male,child,white,smiling,
1259,male,child,white,smiling,
1260,male,child,white,smiling,
1261,male,child,white,smiling,
1262,female,child,white,smiling,
1263,male,child,white,smiling,
1264,male,child,white,smiling,
1265,male,child,white,smiling,
1266,male,child,white,smiling,
1267,male,child,white,serious,
1268,male,child,white,smiling,
1269,male,teen,white,serious,
1270,male,teen,white,serious,
1271,male,child,white,smiling,
1272,male,child,white,smiling,
1273,male,child,white,serious,
1274,male,child,white,serious,
1275,male,child,white,smiling,
1276,male,child,white,funny,
1277,male,child,white,smiling,
1278,male,child,white,smiling,
1279,male,child,white,serious,
1280,male,child,white,serious,
1281,male,child,white,smiling,
1282,male,child,white,smiling,
1283,female,adult,white,smiling,
1284,male,child,white,smiling,
1285,female,teen,white,smiling,
1286,female,adult,white,smiling,
1287,male,child,white,smiling,
1288,male,child,white,smiling,
1289,male,child,white,smiling,
1290,male,child,white,smiling,glasses
1291,male,child,white,smiling,glasses
1292,male,child,white,serious,glasses
1293,male,child,white,smiling,
1294,male,child,white,smiling,
1295,male,child,white,smiling,
1296,male,child,white,serious,
1297,female,child,white,serious,
1298,female,teen,hispanic,smiling,
1299,male,child,white,smiling,
1300,male,child,white,serious,
1301,male,child,white,smiling,
1302,male,child,white,smiling,
1303,female,child,white,serious,
1304,male,teen,white,serious,
1305,male,teen,white,serious,
1306,male,child,white,serious,
1307,male,child,white,serious,
1308,male,teen,white,serious,
1309,female,teen,white,smiling,
1310,male,child,white,serious,
1311,male,child,white,serious,
1312,male,teen,white,smiling,
1313,male,child,white,smiling,
1314,male,child,white,serious,
1315,male,child,white,serious,
1316,male,child,white,serious,
1317,male,teen,white,serious,
1318,male,child,white,serious,
1319,male,child,white,serious,
1320,male,child,white,serious,
1321,male,child,white,smiling,
1322,female,teen,white,serious,glasses moustache
1323,male,child,white,smiling,
1324,male,child,white,serious,
1325,male,child,white,smiling,
1326,male,child,white,serious,
1327,male,child,white,serious,
1328,male,child,white,smiling,
1329,male,child,white,serious,
1330,male,child,white,serious,
1331,male,child,white,serious,
1332,male,child,white,serious,
1333,male,child,white,smiling,
1334,male,child,asian,smiling,
1335,female,adult,white,serious,
1336,male,child,white,serious,
1337,male,child,white,smiling,
1338,male,child,white,serious,
1339,male,child,white,serious,
1340,male,child,white,serious,
1341,male,child,white,serious,
1342,male,child,white,smiling,
1343,female,child,white,smiling,
1344,male,child,white,smiling,
1345,female,child,white,smiling,
1346,male,child,white,smiling,
1347,male,child,white,smiling,
1348,male,child,white,funny,
1349,male,child,white,smiling,
1350,male,child,white,smiling,
1351,male,child,white,serious,
1352,female,child,white,serious,hat bandana
1353,female,child,white,serious,hat
1354,female,child,white,smiling,hat
1355,female,teen,white,smiling,
1356,male,child,white,serious,
1357,male,child,white,serious,
1358,male,child,white,smiling,
1359,male,child,white,smiling,
1360,male,child,black,smiling,glasses
1361,male,child,black,serious,hat
1362,male,child,black,serious,
1363,female,child,white,smiling,
1364,female,child,white,serious,hat
1365,male,child,white,smiling,
1366,female,teen,white,smiling,
1367,male,child,white,serious,
1368,female,child,white,serious,
1369,male,child,white,serious,
1370,male,child,white,serious,
1371,female,child,white,smiling,
1372,female,child,white,smiling,
1373,male,child,white,serious,
1374,female,adult,white,smiling,
1375,female,child,white,serious,
1376,female,child,white,serious,
1377,male,child,white,smiling,
1378,male,child,white,smiling,
1379,female,child,white,smiling,
1380,male,child,white,smiling,
1381,female,teen,white,smiling,
1382,female,teen,white,smiling,
1383,female,child,white,serious,
1384,female,child,white,smiling,
1385,female,child,white,serious,
1386,female,child,white,funny,
1387,female,child,white,smiling,
1388,female,child,white,serious,
1389,male,child,white,smiling,
1390,male,child,white,smiling,
1391,male,child,white,smiling,
1392,male,child,white,smiling,
1393,female,child,white,serious,
1394,male,child,white,serious,
1395,female,child,white,serious,
1396,female,child,white,serious,
1397,female,child,white,serious,
1398,male,child,white,serious,
1399,male,child,white,serious,
1400,female,child,white,serious,
1401,female,child,white,smiling,
1402,male,child,white,smiling,
1403,male,child,white,smiling,
1404,female,child,white,smiling,
1405,male,child,white,smiling,
1406,male,adult,white,smiling,
1407,female,child,white,smiling,
1408,male,child,white,smiling,
1409,male,child,white,smiling,
1410,female,child,white,smiling,
1411,female,child,white,smiling,
1412,female,child,white,smiling,
1413,female,child,white,smiling,
1414,male,child,white,smiling,
1415,female,child,white,smiling,
1416,male,child,white,smiling,
1417,male,child,white,smiling,
1418,female,child,white,smiling,
1419,male,child,white,smiling,
1420,female,child,white,smiling,
1421,male,child,white,smiling,
1422,female,child,white,smiling,
1423,female,child,white,smiling,
1424,female,child,white,funny,
1425,male,teen,hispanic,smiling,
1426,male,child,white,smiling,
1427,male,child,white,smiling,
1428,female,child,white,smiling,
1429,male,child,white,serious,
1430,male,child,white,smiling,
1431,female,child,white,serious,
1432,male,child,white,funny,
1433,female,teen,white,smiling,
1434,female,child,white,smiling,
1435,female,child,white,smiling,
1436,female,child,white,smiling,
1437,female,child,white,smiling,
1438,female,child,white,serious,
1439,female,child,white,serious,
1440,female,child,white,smiling,
1441,female,teen,white,smiling,glasses
1442,female,child,white,smiling,glasses
1443,female,child,white,serious,glasses
1444,female,child,white,smiling,glasses
1445,female,child,white,serious,glasses
1446,male,child,white,serious,
1447,female,child,white,serious,
1448,female,child,white,serious,
1449,female,child,white,smiling,
1450,female,teen,white,serious,
1451,male,child,white,serious,
1452,male,child,white,serious,
1453,male,child,white,funny,
1454,male,child,white,smiling,
1455,male,child,white,smiling,
1456,female,child,white,serious,
1457,female,child,white,smiling,
1458,female,teen,white,smiling,
1459,female,teen,white,smiling,
1460,female,teen,white,smiling,
1461,male,teen,white,serious,
1462,male,child,white,serious,
1463,female,child,white,smiling,
1464,female,child,white,smiling,
1465,male,child,white,serious,
1466,female,child,white,serious,
1467,female,child,white,smiling,
1468,male,child,white,smiling,
1469,male,child,white,serious,
1470,female,teen,white,smiling,
1471,female,teen,white,smiling,
1472,female,teen,white,smiling,
1473,female,teen,white,smiling,
1474,male,teen,white,serious,
1475,male,teen,white,smiling,
1476,female,teen,white,smiling,
1477,female,teen,white,serious,
1478,male,child,white,serious,
1479,female,adult,white,serious,
1480,male,adult,white,smiling,
1481,female,teen,white,serious,
1482,female,teen,white,smiling,
1483,female,teen,white,serious,
1484,male,teen,white,smiling,
1485,female,teen,white,smiling,
1486,female,teen,white,funny,
1487,female,teen,white,smiling,
1488,female,teen,white,smiling,
1489,female,teen,white,serious,
1490,female,child,white,smiling,
1491,male,teen,white,smiling,
1492,female,child,white,smiling,
1493,female,adult,white,smiling,
1494,male,child,white,smiling,
1495,female,teen,white,smiling,
1496,female,teen,white,smiling,
1497,male,teen,white,smiling,
